Survey,Telescope,Survey Year,CentreFreq (Mhz),Bandwidth (Mhz),ChannelWidth (Khz),Channels,Sampling (micro sec),Integration time (secs),Beams,Pointings,Region,Square Degrees,Samples per second (sample rate * channels),Bits (per sample),Data rate^-1(MB),Data Total (GB),DM Trials,DM Trial Lower Lim cm-3,DM Trial Upper Lim cm-3,Candidates,Notes
P-ALFA Survey (anticipated) (WAPP),Arecibo,2004-10,1420,300,390.625,1024,64,134,7,?,|b| ≤ 5° and 32° ≤ l ≤ 77° and 168° ≤ l ≤ 214°,275,16000000,16,?,?,96/1272,0,980/1000,?,"0.3TB per hour, 2 byte integers stored at 64 microsecond intervals. Different DM trial values for periodicity search/single pulse search (reported in Deneva:2009:ac). Total sky coverage includes earlier observations described in first P-Alfa paper (Cordes et al.)."
6.5 Ghz Multibeam Pulsar Survey,Parkes,2006-07,6591,576,3000,192,125,1055,7,2560,|b| ≤ 0.25° and -60° ≤ l ≤ 30°,?,1536000,1,?,5000,~286,0,2000,>3500000,5TB of data collected. 170 candidates per beam = over 3.5 million for the survey.
Green Bank 350 MHz Drift Scan,Green Bank,2007,350,50,24.4140625,2048,81.92,140,?,?,Azimuth restrictions allowed access to declination ranges of -7°.72 < δ < 38°.43 and -20°.66 < δ < 38°.43 for azimuths of 229° and 192°,?,25000000,16,?,134000,?,?,?,?,1491 hours of data taken.
GBT350 (Spigot),Green Bank,2007,350,50,24.4140625,2048,82,140,?,?,?,10300,24975609.7560976,?,?,?,?,?,?,?,"http://astro.phys.wvu.edu/GBTdrift350/ Square degrees details found at the website, and survey year."
P-ALFA Survey (MOCK),Arecibo,2009-present,1375,322.6,336.041667,960,65.5,120-300,7,~5045,|b| ≤ 5° and 30° ≤ l ≤ 78° and 162° ≤ l ≤ 214°,?,14656488.5496183,16,?,?,5016,0,2038,>5000000,16bit data reduced to 4 for data storage requirements. The ~5045 pointings are for the MOCK spectrometer between 2009-12 in the outer galaxy.
GBNCC (GUPPI),Green Bank,2009-14,350,100,24.4140625,4096,82,120,?,~30000,δ > −40◦ (sky visible to Green Bank),>13500,49951219.5121951,?,?,700000,17352/26532,0,500/3000,>1200000,"Dispersion trials and range increased due to Thornton burst discovery, thus two sets of values."
Southern HTRU (LOW),Parkes,2010-12,1352,340,390.625,870,64,4300,13,1230,|b| ≤ 3°.5 and -80° < l < 30°,~840,13593750,8,?,250000,?,?,?,1600000,16gb per beam. 1PB data total according to Ng 2014.
Southern HTRU (MED),Parkes,2010-12,1352,340,390.625,870,64,540,13,7312,|b| ≤ 15° and -120° < l < 30°,~4500,13593750,8,?,190000,1436,0,2000,9509600,2gb per beam.
Southern HTRU (HIGH),Parkes,2010-12,1352,340,390.625,870,64,270,13,34099,δ < +10◦,?,13593750,8,?,435000,8000,0,800,44328700,1gb per beam.
A0327 (MOCK),Arecibo,2010,327,57,55.6640625,1024,125,60,?,?,"-1° < δ < 28°, excluding the region within 5° of the Galactic plane",?,8192000,?,?,?,6358,0,1000,?,
LPPS,LOFAR,2010,142,6.8,12.1428571,560,655,3420,7,246,,?,854961.832061069,8,?,?,3487,0,3000,?,
LOTAS,LOFAR,2010-11,143,48,12.295082,3904,1300,1020,19,206,?,?,3003076.92307692,8,?,?,16845/18100,0,1000,?,
Northern HTRU (LOW),Effelsberg,2010-14,1360,240,585.9,410,54.61,1500,7,12485,|b| < 3°.5,?,7507782.45742538,8,?,1117800,3240/406,0,978/3000,>80000000,"13.4 gb per beam, ~38MBs-1. 5PB data total according to Ng 2014. Quick search pipeline searches 406 trial DM's up to 3000."
Northern HTRU (MED),Effelsberg,2010-14,1360,240,585.9,410,54.61,180,7,53581,|b| < 15°,?,7507782.45742538,8,?,575600,3240/406,0,978/3000,>80000000,1.6 gb per beam. Quick search pipeline searches high DM range up to 3000.
Northern HTRU (HIGH),Effelsberg,2010-14,1360,240,585.9,410,54.61,90,7,152305,|b| > 15°,?,7507782.45742538,8,?,818100,3240/406,0,978/3000,>80000000,0.8 gb per beam. Quick search pipeline searches high DM range up to 3000.
A0327 (PUPPI),Arecibo,2014,327,69,24.5028409,2816,82,60,?,?,"-1° < δ < 28°, excluding the region within 5° of the Galactic plane",?,34341463.4146341,?,?,?,6358,0,1000,?,
SPAN512,Nancy,2012,1486,512,500,1024,64,1080,2,5800,3.5° < |b| <5° and 74°≤ l <150°,230,16000000,4,?,5000,?,?,1800,?,
LOTAAS,LOFAR,2013,135.248,94.9219,12.207,2592,491.52,3600,222,1950,All Northern Sky,20625.5,5273437.5,8,?,31200000,7000,0,500,43000000,35 Gbps (close to the total possible system throughput of the LOFAR CEP2 network). Each 1-hour pointing produces 16 TB of raw data.
SUPERB,Parkes,2014,1374,340,332.03125,1024,32,540,13,6644,"Latitude -25° ≤ |b| ≤ 25°, extends the HTRU medium latitude survey out to +/-25 degrees",?,32000000,8,?,?,1448,0,400,?,549 ACC trials -250 -> 250 m/s/s
GMRT High Resolution Southern Sky Survey (MID),GMRT,2014,322,32,15.625,2048,60,1200,1,682,5° < |b| < 20° and -40° < δ < -54°,1212,34133333.3333333,?,?,50000,6000,0.01,500/2000,?,76GB per beam.
GMRT High Resolution Southern Sky Survey (HIGH),GMRT,2014,322,32,31.25,1024,30,720,1,911,|b| > 20° and -40° < δ < -54°,1620,34133333.3333333,?,?,40000,6000,0.01,500/2000,?,45GB per beam.
FAST*,FAST,2016,1315,400,42.1052632,9500,100,600,19,?,?,?,95000000,2,?,?,?,?,?,?,"Simulation. For the initial 19-beam receiver, the data rate is just under 0.5 GB per second. For 100 beams it is about 2.4 GB per second."
SKA** (Configuration A – 3000 Dishes),SKA,2020-22,1250,500,50,9500,64,1800,?,?,?,35000,148437500,2,?,?,?,?,?,?,35000 degrees corresponds to an all sky survey.
SKA** (Configuration B – Aperture Array),SKA,2020-22,650,300,50,9500,64,1800,?,?,?,35000,148437500,2,?,?,?,?,?,?,35000 degrees corresponds to an all sky survey.
